Reported Year,Total Dead and Missing,Lon,Lat
2018,1,29.625085,20.386066
2018,7,40.71539639,26.02552249
2018,1,26.1576875,-98.3784375
2018,1,28.497581,-100.333312
2018,1,12.357222,-1.535278
2018,1,31.8812998,-112.8167426
2018,1,12.953846,36.152215
2018,1,11.783333,-0.366667
2018,1,23.43,-2.2
2018,1,36.72818455,-3.746214307
2018,1,31.80516946,14.02483689
2018,1,36.01381364,36.37569228
2018,1,-9.96284,33.931714
2018,1,18.07428,34.434549
2018,2,14.513764,39.383861
2018,1,26.23975657,-98.5649342
2018,1,27.60339887,-99.35648989
2018,3,3.536064,39.065407
2018,1,-13.66283,33.870444
2018,1,-13.86155,33.782244
2018,1,22.396611,26.693147
2018,2,18.07428,34.434549
2018,1,26.22235335,-98.47598489
2018,1,35.84452886,-5.324127404
2018,1,35.9389086,-3.0357141
2018,1,26.22443895,-98.44510598
2018,1,26.278674,-98.0555171
2018,1,31.8389427,-111.8432981
2018,1,32.0877596,-112.9058802
2018,1,-13.009242,40.527028
2018,2,20.610678,27.916851
2018,1,11.018296,42.62509
2018,2,31.723048,14.025968
2018,3,-15.137787,39.230025
2018,1,36.94148084,27.28634951
2018,1,50.97099851,1.850203958
2018,1,35.6649375,-5.2843125
2018,1,6.667462,101.219904
2018,1,11.312407,42.923337
2018,2,-13.86155,33.782244
2018,1,20.610678,27.916851
2018,1,34.52140759,35.48656828
2018,1,-25.727874,32.550056
2018,1,14.2236391,13.91707
2018,1,14.89296869,-92.27452373
2018,1,35.90403908,-5.272830746
2018,1,27.0281556,-98.20946731
2018,1,32.3859796,-113.0115156
2018,2,21.943709,27.672666
2018,1,-22.224428,29.988756
2018,2,-9.311028,32.777507
2018,1,15.28,-1.7
2018,1,16.967643,7.985137
2018,1,36.7444424,-3.167758518
2018,1,27.19614936,-98.19017665
2018,1,31.5217288,-111.0074089
2018,1,31.6848117,-111.9963539
2018,1,22.396611,26.693147
2018,1,10.426632,45.022576
2018,1,16.967643,7.985137
2018,1,26.21143636,-98.42262821
2018,1,35.87661903,-3.037087391
2018,1,16.66501412,-96.29729031
2018,1,28.6280361,-100.1589541
2018,4,33.00647747,-111.3743769
2018,1,32.86964171,-116.3492754
2018,3,19.635357,27.103538
2018,2,7.683333,-5.016667
2018,2,13.45,-6.266667
2018,1,36.4139719,-3.480957443
2018,1,14.45,-11.433333
2018,1,14.692778,-17.446667
2018,1,6.366667,2.433333
2018,1,9.516667,-13.7
2018,1,14.533333,-4.1
2018,3,37.0065157,27.43114081
2018,3,29.73219524,24.81072338
2018,1,36.72713514,-3.747944917
2018,1,17.275026,8.339431
2018,1,36.07245054,-3.002072231
2018,1,32.68249709,-115.3172392
2018,1,-12.71499745,45.05088755
2018,1,-15.137787,39.230025
2018,1,-13.66283,33.870444
2018,2,6.816667,-5.283333
2018,1,13.511667,2.08392
2018,1,11.176623,0.954152
2018,2,17.288454,8.188231
2018,1,27.49656692,-99.49156356
2018,1,36.72208435,-3.357001443
2018,1,16.43710335,-94.57437901
2018,1,5.316667,-4.033333
2018,2,11.583333,-11.9
2018,1,32.0877596,-112.9058802
2018,1,-6.816579,39.081499
2018,1,16.266667,-0.05
2018,2,16.967643,7.985137
2018,1,35.91522636,-5.269480794
2018,3,35.26558102,-2.91468164
2018,1,38.37585267,34.02760767
2018,1,31.8146671,-111.8577008
2018,2,35.96615887,36.29601351
2018,3,14.499142,-11.459961
2018,4,10.597203,-7.463892
2018,1,32.67416106,-115.7393001
2018,1,50.96681141,3.850359245
2018,1,22.438023,93.478284
2018,1,14.495833,-4.198611
2018,1,36.77937994,-2.593665135
2018,1,32.65754929,-116.0231094
2018,1,31.8294136,-111.8371168
2018,1,32.3864725,-112.8728262
2018,1,6.666557,100.304106
2018,2,19.635357,27.103538
2018,6,35.18967882,-3.381137862
2018,1,31.5000872,-111.4747162
2018,1,9.583333,-5.2
2018,2,11.316667,-5.666667
2018,1,51.14291211,2.866106904
2018,2,17.99655492,-95.41485496
2018,1,25.73115545,-100.5395076
2018,1,2.028723,93.521504
2018,2,21.943709,27.672666
2018,2,21.14317,23.823002
2018,6,18.617049,15.75216
2018,1,35.9405625,36.1891875
2018,1,25.7954349,-99.176062
2018,15,11.668239,42.69183
2018,1,18.07428,34.434549
2018,5,35.61357487,-3.107125233
2018,6,35.61380572,-3.880978481
2018,1,32.0577019,-112.1430215
2018,5,35.87661903,-3.354317616
2018,1,27.62286878,-99.35648989
2018,61,35.75212334,-4.375363247
2018,1,26.88328098,-97.85512762
2018,3,6.816667,-5.283333
2018,1,16.70434912,98.54256422
