Company name,Notes,Status,Last modified,Where to apply,Industry,Location,Founded Date,Founders,Funding Status,Last Funding Type,Number of Employees,Revenue Range,Hug Tags,Ipo Status,Company Type,Number of Acquisitions,Total Funding,Headquarters Location,Headquarters Regions
Ace ,"
",Hiring  freeze,2020-04-07T18:06:55.000Z,,,,,,,,,,,,,,,,
Aceable,"
",Hiring,2020-04-04T19:01:52.000Z,,,,,,,,,,,,,,,,
AceInfo Solutions,"Apply at www.aceinfosolutions.com
",Hiring,2020-04-04T19:04:52.000Z,,,,,,,,,,,,,,,,
"AceUp, Inc.","Account Executives (Sales), Full-Stack Developers (Engineering)
",Hiring,2020-04-05T13:56:02.000Z,,,,,,,,,,,,,,,,
Acklen Avenue,"
",Hiring,2020-04-07T18:07:21.000Z,,,,,,,,,,,,,,,,
ACLU,"
","Hiring,Hiring  freeze",2020-04-09T16:43:20.000Z,,,,,,,,,,,,,,,,
Acorns,"Candor confirmed with verified company representative
",Hiring,2020-03-30T17:49:55.000Z,https://www.acorns.com/careers/,,,,,,,,,,,,,,,
Acoustic,"
",Hiring,2020-04-02T04:03:49.000Z,,,,,,,,,,,,,,,,
Acquia,All roles but priority on key leadership roles,"Hiring,Hiring  freeze",2020-04-07T18:07:32.000Z,,,,,,,,,,,,,,,,
Active network,"
",Hiring,2020-04-07T18:08:04.000Z,,,,,,,,,,,,,,,,
ActiveCampaign,"
",Hiring,2020-04-01T01:46:51.000Z,,,,,,,,,,,,,,,,
Activeprospect,"
",Hiring,2020-04-01T01:46:58.000Z,,,,,,,,,,,,,,,,
Acuity,"
",Hiring,2020-04-07T18:08:22.000Z,,,,,,,,,,,,,,,,
Acumen,,"Hiring  freeze,Hiring",2020-04-07T18:26:31.000Z,https://acumen.org/sample-jobs/,,,,,,,,,,,,,,,
Acunetix,"
",Hiring,2020-03-31T22:51:30.000Z,https://www.acunetix.com/jobs/,,,,,,,,,,,,,,,
Acxiom,"Hiring in Poland is freezed, only offers in US
",Hiring,2020-04-10T16:47:04.000Z,,,,,,,,,,,,,,,,
Adani,"
",Hiring,2020-04-10T17:42:09.000Z,,,,,,,,,,,,,,,,
Adaptive Biotechnologies,"2 reports of hiring
",Hiring,2020-04-02T04:04:14.000Z,,,,,,,,,,,,,,,,
Adapty Solutions ,"
",Hiring  freeze,2020-04-10T17:33:02.000Z,,,,,,,,,,,,,,,,
Adara,"2 reports of freeze, 4 reports of layoff","Hiring  freeze,Layoffs",2020-04-07T00:38:52.000Z,,,,,,,,,,,,,,,,
ADB SAFEGATE,"Whole Company
",Hiring  freeze,2020-04-03T21:40:30.000Z,,,,,,,,,,,,,,,,
AdColony,"
",Hiring  freeze,2020-04-02T04:04:52.000Z,,,,,,,,,,,,,,,,
Addepar,"Confirmed with company HR rep- hiring is continuing for all roles and interviews are happening by video.
",Hiring,2020-03-29T02:59:04.000Z,https://addepar.com/careers,,,,,,,,,,,,,,,
Adecco,"Mainly IT recruitment & Solutions
Conflicting reports of hiring and layoffs
",Hiring,2020-04-07T18:09:51.000Z,,,,,,,,,,,,,,,,
Adens Tyres,"Sales, IT, Amazon
",Hiring,2020-04-07T16:10:52.000Z,,,,,,,,,,,,,,,,
Adeva,"Hiring actively
",Hiring,2020-03-30T15:06:08.000Z,,,,,,,,,,,,,,,,
Adevinta (Formerly Schibsted),"global
",Hiring  freeze,2020-03-31T22:27:48.000Z,https://www.adevinta.com/careers/,,,,,,,,,,,,,,,
AdGear,"
",Hiring,2020-04-02T04:05:02.000Z,,,,,,,,,,,,,,,,
AdHawk,"It appears to be across the board. Had an interview cancelled at the last minute this morning.
",Hiring  freeze,2020-04-07T18:10:32.000Z,,,,,,,,,,,,,,,,
Adidas,"internships cancelled 
",Hiring  freeze,2020-04-05T13:52:35.000Z,https://careers.adidas-group.com/,,,,,,,,,,,,,,,
Adient,"
","Hiring  freeze,Hiring",2020-04-05T13:03:16.000Z,,,,,,,,,,,,,,,,
Adjust,"Reports of hiring and a hiring freeze. See below:
Hiring:","Hiring,Hiring  freeze",2020-04-10T14:12:00.000Z,https://grnh.se/c112562a2,,,,,,,,,,,,,,,
Adludio,"www.adludio.com
",Hiring,2020-04-09T22:18:15.000Z,www.adludio.com,,,,,,,,,,,,,,,
adMarketplace,"1/3 of employees got laid off including tech team and the rest of employees received paycut
",Layoffs,2020-04-02T04:05:13.000Z,,,,,,,,,,,,,,,,
admiral,"
",Hiring,2020-04-07T18:11:02.000Z,,,,,,,,,,,,,,,,
ADNOC,"
",Hiring,2020-04-05T12:48:31.000Z,,,,,,,,,,,,,,,,
Adobe,"Multiple reports of a hiring freeze and continued hiring. See below:
Hiring freeze:","Hiring  freeze,Hiring",2020-04-09T15:54:22.000Z,https://www.adobe.com/careers.html,,,,,,,,,,,,,,,
Adobe Systems India Pvt. Ltd.,"
","Hiring  freeze,Hiring",2020-04-09T15:54:35.000Z,,,,,,,,,,,,,,,,
ADP,Verified HR employee reached out to Candor and confirmed hiring is continuing as normal,Hiring,2020-04-10T14:12:24.000Z,https://jobs.adp.com/,,,,,,,,,,,,,,,
adQuadrant,"We are looking for a Director of Sales, paid media buyers, and Marketing Managers
",Hiring,2020-04-02T04:06:31.000Z,,,,,,,,,,,,,,,,
ADroll,5 reports with no notes,Layoffs,2020-04-02T04:06:54.000Z,,,,,,,,,,,,,,,,
Adtalem Global Education ,"
",Hiring,2020-04-07T18:11:54.000Z,,,,,,,,,,,,,,,,
ADTRAN,"
",Hiring,2020-04-02T04:07:14.000Z,,,,,,,,,,,,,,,,
ADVA,,Hiring,2020-03-28T23:57:23.000Z,,,,,,,,,,,,,,,,
Advantasure,"Healthcare IT, Claims, Agile roles, Jira
",Hiring,2020-04-06T16:57:05.000Z,,,,,,,,,,,,,,,,
AdventHealth,"A central Florida hospital. Most positions are hiring freeze, and only Nurse related jobs are still opening right now.
",Hiring  freeze,2020-03-30T02:42:01.000Z,,,,,,,,,,,,,,,,
Adventist Health,"
",Hiring  freeze,2020-04-01T01:50:04.000Z,,,,,,,,,,,,,,,,
Advisory Board Company,,Hiring  freeze,2020-03-28T23:50:15.000Z,,,,,,,,,,,,,,,,
Adyen,,Hiring,2020-03-28T18:36:09.000Z,https://www.adyen.com/careers,,,,,,,,,,,,,,,
AECOM,I started with the company just last week.  AECOM is still actively hiring.   ,"Hiring,Hiring  freeze",2020-04-07T00:40:18.000Z,,,,,,,,,,,,,,,,
AECOM GURGAON,"
",Hiring,2020-04-08T18:10:34.000Z,,,,,,,,,,,,,,,,
AEG,"AEG has cut ALL employee salaries by 20% and all entities are on hiring freeze
",Hiring,2020-04-07T00:40:40.000Z,,,,,,,,,,,,,,,,
Aegion,"
",Hiring,2020-04-04T18:49:27.000Z,,,,,,,,,,,,,,,,
AEI,"internship
",Hiring  freeze,2020-04-08T22:15:10.000Z,,,,,,,,,,,,,,,,
aeromexico,"
",Hiring,2020-04-08T20:54:16.000Z,,,,,,,,,,,,,,,,
Aerotek,"Aerotek internal has a hiring freeze but we are hiring for clients as they request!
","Hiring,Hiring  freeze",2020-04-09T15:48:09.000Z,,,,,,,,,,,,,,,,
Aerq,"
",Hiring  freeze,2020-04-08T22:07:35.000Z,,,,,,,,,,,,,,,,
Aetna,,Hiring,2020-04-07T14:46:53.000Z,,,,,,,,,,,,,,,,
Affinitiv,"
",Hiring  freeze,2020-04-07T18:12:50.000Z,,,,,,,,,,,,,,,,
Affirm,All engineering hiring paused. ,Hiring  freeze,2020-04-01T01:51:17.000Z,https://www.affirm.com/careers,,,,,,,,,,,,,,,
Affirmed Networks,,Hiring  freeze,2020-04-01T01:51:37.000Z,,,,,,,,,,,,,,,,
Afresh Technologies,"Hiring for PM, ML Engineers, Senior Mobile, and various non-tech roles
",Hiring,2020-04-07T18:13:18.000Z,,,,,,,,,,,,,,,,
Afterpay,"Actively hiring but slowed down.
",Hiring,2020-03-29T00:00:45.000Z,,,,,,,,,,,,,,,,
Afton Chemicals ,"
",Hiring  freeze,2020-03-31T22:23:53.000Z,https://www.aftonchemical.com/Generic/Careers,,,,,,,,,,,,,,,
Age of Learning ,"In the ed-tech space and rapidly hiring across several discipline areas to keep up with market demand for at home educational software. 
",Hiring,2020-04-01T01:51:57.000Z,,,,,,,,,,,,,,,,
Agenus,"70 
",Layoffs,2020-04-08T22:27:32.000Z,,,,,,,,,,,,,,,,
"Agero, Inc","Actively seeking development engineers 
",Hiring,2020-04-09T15:50:36.000Z,,,,,,,,,,,,,,,,
Agile Enterprise Solutions Inc,"
",Hiring,2020-04-04T14:32:39.000Z,,,,,,,,,,,,,,,,
Agilent Technologies,"All roles on hold, unless an offer has already been extended
",Hiring  freeze,2020-04-02T04:07:49.000Z,,,,,,,,,,,,,,,,
AgileOne,"Multiple career levels being laid off - all the way up to VP Level
",Layoffs,2020-04-08T18:50:32.000Z,,,,,,,,,,,,,,,,
AgileThought,,Hiring  freeze,2020-03-29T11:19:04.000Z,,,,,,,,,,,,,,,,
Agio,"Company wide hiring freeze
",Hiring  freeze,2020-04-07T18:13:48.000Z,,,,,,,,,,,,,,,,
AGM,"DevOPs engineer, Java Developers, Full Time MYSQL Architect
",Hiring,2020-04-08T22:10:48.000Z,,,,,,,,,,,,,,,,
Agoda.com,,Hiring  freeze,2020-03-29T11:19:28.000Z,,,,,,,,,,,,,,,,
Aha!,"Hiring all roles; full-time, 100% remote
",Hiring,2020-04-04T19:16:01.000Z,,,,,,,,,,,,,,,,
Ahlstrom Munksjo,"
",Hiring,2020-04-07T18:14:38.000Z,,,,,,,,,,,,,,,,
Ahold Delhaize,"
",Hiring,2020-04-07T18:14:51.000Z,,,,,,,,,,,,,,,,
AIG,"Reports of a hiring freeze, continued hiring, and claims of layoffs. See below:
Hiring freeze:","Hiring  freeze,Hiring",2020-04-07T00:41:09.000Z,https://www.aig.com/careers,,,,,,,,,,,,,,,
ailleron,"
","Hiring,Hiring  freeze",2020-04-06T17:52:56.000Z,,,,,,,,,,,,,,,,
Aimpoint Digital ,"Optimization Expert and Data Scientists
",Hiring,2020-04-07T17:23:19.000Z,,,,,,,,,,,,,,,,
Air Canada,"
",Hiring  freeze,2020-04-07T16:13:26.000Z,,,,,,,,,,,,,,,,
Air Liquide AM,"
",Hiring  freeze,2020-04-01T01:53:12.000Z,,,,,,,,,,,,,,,,
Air-tek,"Software Developers, DevOps, Software Developers in Test, Data Engineers
",Hiring,2020-04-10T14:13:51.000Z,,,,,,,,,,,,,,,,
Airbnb,"Multiple reports of continued hiring and a hiring freeze. See below:
Hiring Freeze:",Hiring  freeze,2020-04-07T00:42:06.000Z,https://careers.airbnb.com/,,,,,,,,,,,,,,,
Airbus,"Multiple reports of hiring, a hiring freeze, and claims of layoffs. See below:
Hiring freeze:","Hiring  freeze,Hiring,Layoffs",2020-04-06T17:48:29.000Z,,,,,,,,,,,,,,,,
Airgas,"Furloughs and salary increases on hold
",Hiring  freeze,2020-04-05T15:36:30.000Z,,,,,,,,,,,,,,,,
Airtable,"Confirmed from multiple sources
",Hiring,2020-03-28T18:03:58.000Z,https://airtable.com/careers,,,,,,,,,,,,,,,
Airtasker,"Freeze on all roles. Some offers are being frozen as well.
",Hiring  freeze,2020-04-04T19:18:07.000Z,,,,,,,,,,,,,,,,
Airtel,"
",Hiring  freeze,2020-04-04T19:18:44.000Z,,,,,,,,,,,,,,,,
AISommelier,"Data Scientists & Data Engineers
",Hiring,2020-04-01T01:59:19.000Z,,,,,,,,,,,,,,,,
Akamai Technologies,"Confirmed from multiple sources
",Hiring,2020-03-30T06:36:17.000Z,https://www.akamai.com/us/en/about/careers/,,,,,,,,,,,,,,,
Akerna,"
",Hiring  freeze,2020-04-08T21:00:33.000Z,,,,,,,,,,,,,,,,
AKQA,Multiple reports of contractors experiencing layoffs,Hiring  freeze,2020-04-07T00:42:50.000Z,,,,,,,,,,,,,,,,
Akuna Capital,3 reprts,Hiring  freeze,2020-04-02T04:11:31.000Z,,,,,,,,,,,,,,,,
AkzoNobel,"Global Hiring Freeze
",Hiring  freeze,2020-04-04T18:21:04.000Z,,,,,,,,,,,,,,,,
ALARA Logistics,"Operations and Warehousing
",Hiring,2020-04-01T02:01:39.000Z,,,,,,,,,,,,,,,,
Alaric Co,"Looking for EXPERTs.
",Hiring,2020-04-08T15:41:45.000Z,,,,,,,,,,,,,,,,
Alarm.com,"Reports of hiring. Details below:
Hiring:",Hiring,2020-04-06T16:43:22.000Z,,,,,,,,,,,,,,,,
